,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
1238,D,72.0,180,Teves Josh,24,Not Injured
1239,C,72.0,174,Texier Alexandre,19,Not Injured
1240,D,74.0,195,Theodore Shea,23,Not Injured
1241,D,73.0,190,Thomas Ben,23,Not Injured
1242,C,72.0,188,Thomas Robert,20,Injured
1243,C,73.0,207,Thompson Nate,34,Not Injured
1244,RW,77.0,205,Thompson Tage,21,Not Injured
1245,LW,75.0,215,Thomson Ben,26,Not Injured
1246,RW,75.0,235,Thorburn Chris,36,Not Injured
1247,C,76.0,220,Thornton Joe,40,Injured
1248,D,73.0,200,Thrower Josh,23,Not Injured
1249,C,73.0,195,Tierney Chris,25,Not Injured
1250,D,74.0,184,Timmins Conor,20,Not Injured
1251,D,78.0,229,Tinordi Jarred,27,Not Injured
1252,LW,75.0,196,Tkachuk Brady,19,Injured
1253,LW,74.0,202,Tkachuk Matthew,21,Not Injured
1254,D,73.0,191,Toews Devon,25,Not Injured
1255,C,74.0,201,Toews Jonathan,31,Not Injured
1256,RW,72.0,197,Toffoli Tyler,27,Not Injured
1257,G,72.0,204,Tokarski Dustin,29,Not Injured
1258,RW,70.0,191,Tolvanen Eeli,20,Not Injured
1259,C,74.0,200,Toninato Dominic,25,Not Injured
1260,RW,75.0,187,Toropchenko Alexey,20,Not Injured
1261,C,74.0,201,Trenin Yakov,22,Not Injured
1262,C,70.0,186,Trocheck Vincent,25,Injured
1263,RW,72.0,185,Tropp Corey,29,Not Injured
